Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
59,36727,10399,358,320,5,0,1,home,0,1
49,54304,11739,806,87,6,0,1,personal,0,1
35,52477,5957,421,217,5,1,0,car,1,1
63,58534,8423,778,7,1,0,0,car,1,0
28,36877,7866,395,278,3,1,1,car,1,1
41,43994,7290,713,337,1,1,1,personal,0,0
59,57640,13164,534,210,5,0,1,car,1,1
39,68709,7752,361,169,5,0,0,home,0,0
43,64488,15087,555,330,6,1,0,education,1,0
31,51230,23315,647,138,8,1,0,education,0,1
31,42689,8522,423,441,1,0,1,home,1,0
44,56057,10761,781,391,4,0,0,education,1,0
56,33629,11897,616,381,1,0,1,personal,1,0
60,37744,19057,803,306,9,0,1,car,0,0
44,72646,9586,347,230,7,0,0,car,0,0
23,56030,5854,708,475,7,1,1,car,0,0
42,44787,3668,435,308,5,0,0,personal,1,0
22,62437,9710,500,161,7,0,1,personal,0,1
44,69304,7758,549,1,2,1,1,personal,0,1
64,43330,20050,613,236,4,0,0,home,0,1
50,43588,18849,667,437,7,0,1,personal,0,1
58,41710,4828,728,188,3,1,1,education,0,1
22,64457,6446,779,418,2,0,1,home,0,0
41,64603,10368,613,4,2,1,1,home,1,1
53,70788,16986,799,401,1,0,1,home,1,0
32,65129,10285,654,132,5,0,1,personal,0,0
42,25516,6763,784,427,6,0,1,home,1,0
64,54214,9705,510,218,6,1,1,personal,1,1
45,34124,6857,343,260,9,1,0,personal,0,1
47,42306,13012,840,1,4,1,0,home,0,0
62,52558,6454,391,71,1,1,1,car,1,1
48,62533,7447,564,478,6,0,1,car,0,0
36,36637,15809,519,178,5,1,0,home,1,1
35,15129,6158,741,457,6,1,1,car,1,0
64,52707,2769,700,189,3,1,0,education,1,0
23,89653,10474,699,291,2,0,0,education,0,0
57,46957,8197,789,8,6,0,0,personal,1,0
27,50703,12557,784,253,1,1,1,car,0,1
41,76732,11587,769,408,7,1,1,education,0,0
29,58854,9840,744,467,7,0,1,home,0,0
59,53252,9694,568,292,7,1,0,car,0,0
38,56631,6320,566,434,1,1,0,education,0,0
24,53753,10416,353,244,4,1,0,education,1,0
45,32903,14406,827,123,7,1,1,home,0,1
34,29878,5132,819,299,9,0,0,personal,0,0
29,78302,9973,358,283,5,0,0,home,0,0
46,52758,15191,339,32,2,0,1,personal,0,1
22,51501,12527,536,334,7,1,0,education,0,0
40,48646,16547,685,377,1,1,0,personal,1,0
48,61716,7159,599,146,7,0,1,education,0,0
27,88080,846,694,156,6,0,1,education,0,0
64,57859,11003,506,413,7,0,0,car,1,0
28,41178,11812,635,16,3,1,1,personal,0,1
55,47998,16842,813,355,3,0,0,personal,1,0
34,66064,15940,477,47,7,1,1,personal,1,1
37,41257,12683,695,251,2,1,0,home,1,0
56,62783,13826,670,187,1,0,1,car,1,0
60,15188,9040,617,31,9,0,0,car,0,1
24,46551,3904,668,260,9,1,1,car,0,0
22,59422,10588,683,421,7,0,1,home,1,0
26,69051,14912,361,17,7,0,1,personal,1,1
62,37722,13281,804,39,3,1,1,personal,0,0
24,27458,14169,538,304,2,1,1,personal,1,1
49,46088,7861,494,430,7,1,1,car,1,1
38,33118,8672,521,474,9,1,1,car,1,0
46,47764,12417,360,432,1,1,0,education,0,1
64,49900,7267,428,39,4,0,0,home,1,0
54,30212,7421,455,132,6,1,1,home,0,1
30,62066,11489,677,30,7,1,1,car,0,1
56,47641,13804,736,158,7,1,0,education,0,1
34,66206,9002,506,278,2,0,0,personal,1,0
51,22326,4184,687,203,4,1,1,car,1,0
35,34742,6320,779,66,5,1,0,home,0,1
28,57750,11018,639,108,1,1,0,home,0,1
34,38013,10957,639,268,1,0,1,home,0,0
43,47531,11206,503,222,3,1,1,personal,1,1
60,50010,12606,460,292,3,1,1,home,1,1
41,52373,10029,839,18,8,1,0,personal,0,0
36,39836,11325,691,90,9,0,1,personal,0,1
38,52239,9774,833,181,1,0,1,personal,1,0
44,38261,15743,369,255,2,0,0,car,0,1
46,60114,17161,704,455,2,0,1,personal,1,0
45,48277,4054,816,253,4,1,0,education,1,0
61,52325,8723,419,257,2,1,0,home,0,1
49,88548,10163,516,383,7,0,0,car,0,0
35,33393,8665,355,442,9,0,0,home,1,1
21,70828,18964,665,346,7,1,0,personal,1,0
45,10109,11119,803,87,6,1,0,car,1,1
27,18824,5973,754,90,1,0,1,education,1,0
29,31390,12982,403,237,9,0,1,personal,1,1
44,32337,11354,376,390,5,0,1,home,0,1
21,53055,11520,529,70,5,0,0,education,1,1
64,54347,19039,557,44,6,1,1,personal,1,1
28,46177,11753,563,200,9,0,0,education,1,0
44,47751,8481,630,152,8,0,1,personal,0,0
31,57916,223,481,86,8,1,0,car,0,0
37,62498,9173,849,19,8,1,1,personal,1,1
28,30101,16529,326,101,1,1,0,car,1,1
55,44571,9544,575,402,1,1,1,personal,0,0
55,48956,-1200,598,95,8,1,0,personal,0,1
53,57279,7508,390,254,5,0,1,home,0,1
25,38409,14963,779,357,9,0,0,education,0,0
62,48661,12729,757,30,2,0,1,education,1,0
59,50449,5800,750,249,9,1,1,education,0,0
61,39432,7173,664,426,8,0,1,personal,1,1
48,39075,7946,650,33,9,1,0,personal,1,1
27,51481,6686,699,458,4,0,0,personal,0,0
29,48044,-148,552,229,1,0,0,car,0,0
28,57507,13817,758,12,1,1,0,car,0,0
32,34201,16285,798,118,5,1,0,home,0,1
54,44739,2407,807,350,2,0,1,personal,1,0
53,46561,16219,603,155,8,0,0,education,1,1
43,62207,9484,800,423,5,0,1,education,1,0
44,35893,16125,465,393,5,0,1,home,0,0
57,53519,10189,714,246,2,0,0,education,1,0
55,53791,10677,761,405,7,1,1,home,0,0
64,74695,11862,413,332,8,1,0,personal,1,0
60,34893,6049,732,247,1,1,0,education,0,0
42,40141,15973,655,29,2,1,0,personal,1,0
47,35939,4393,506,161,4,0,1,car,1,1
55,24953,7989,534,235,5,0,0,education,0,0
21,76470,12621,741,190,2,1,0,car,1,0
55,31377,7454,654,117,1,0,0,education,1,0
57,37755,13887,814,271,9,1,1,personal,0,1
34,69736,16879,507,258,1,0,0,home,0,1
23,23703,15062,424,180,4,0,1,personal,0,1
21,61345,319,437,373,2,0,1,personal,0,1
25,28804,10629,638,172,4,1,0,personal,0,0
46,68700,15143,836,438,8,1,1,education,1,1
34,17451,3416,367,274,8,1,1,home,0,1
59,23697,13618,840,259,9,1,0,car,1,0
47,41826,13337,682,135,5,0,0,personal,1,0
29,64577,3939,318,171,7,0,0,education,0,0
35,49535,14171,749,210,3,0,1,car,1,0
35,44964,11363,373,236,4,0,0,personal,1,0
46,70190,13251,575,422,9,1,1,car,0,0
62,82328,5168,347,421,1,0,1,personal,1,1
33,60083,10750,510,186,2,0,1,car,0,1
52,40657,1475,839,417,5,0,1,car,0,0
59,43727,-1384,490,364,3,1,1,home,0,0
52,30673,10704,614,443,2,1,0,home,1,1
24,51512,15502,412,95,1,1,0,personal,1,1
50,25556,11264,469,378,3,0,1,education,1,0
57,58277,9682,767,11,1,1,1,home,1,1
43,80083,9062,313,68,1,0,0,car,0,0
59,60763,5287,587,379,1,0,0,home,1,0
35,42962,8890,488,210,8,0,1,home,0,1
63,57904,12108,454,196,3,1,1,personal,1,1
49,74308,7823,770,369,1,1,0,home,1,0
56,73557,13752,374,98,7,0,0,home,1,1
33,34943,10979,576,93,3,0,1,car,1,1
52,57654,11584,642,472,8,1,0,home,1,0
27,47628,14443,724,22,4,1,0,car,0,1
42,62098,7366,810,450,4,1,1,home,1,0
48,55754,13296,481,172,5,0,1,home,1,1
22,14454,8067,757,383,6,0,1,education,1,0
62,44779,11697,363,134,7,0,0,home,1,1
26,52978,6771,559,426,4,1,1,car,0,0
48,28484,5446,492,25,8,1,0,car,1,1
48,58715,10459,705,185,6,1,1,personal,0,1
64,27139,573,392,85,1,0,1,personal,1,1
64,38023,8518,729,55,1,0,0,education,0,0
40,70119,1968,733,251,9,1,0,car,0,0
50,36743,13896,703,144,6,0,1,car,0,1
31,58609,15250,733,351,8,1,1,car,0,1
48,23696,5680,411,398,7,0,0,education,0,0
45,81219,12141,674,167,6,1,1,car,1,0
59,45431,14495,358,412,4,0,0,personal,0,1
53,51429,14512,342,224,7,0,0,education,1,0
21,52685,11072,506,220,9,1,1,personal,0,1
47,59113,13671,595,179,7,1,0,personal,0,0
33,27212,6753,417,119,1,1,0,education,1,1
61,49919,10415,831,433,9,1,0,home,0,0
23,40118,7664,521,265,4,1,1,home,0,1
59,24656,6331,465,442,3,0,0,personal,0,0
26,64806,10180,455,429,4,1,1,home,0,0
28,44717,11737,483,150,4,1,1,car,1,1
47,53637,15817,389,416,2,1,1,education,0,1
29,52697,11325,393,453,1,0,0,personal,0,0
